DOI,Composition,Alloy_or_not,Pt_or_not,Weight_ratio (wt%),N_doped (at%),pH,Current_density (mA/cm2),Overpotential (mV),Particle_size (nm)
12.1039/c5ee02460a,FeCo,1,0,5.5,3.08,0.3,10,364,15
11.1039/c5ee02460a,FeCo,1,0,6.42,4.54,0.3,10,287,15
10.3390/ma13071513,Pt,0,1,18.94,6.26,0.3,10,47,5
10.3390/ma13071513,Pt,0,1,18.94,6.26,0.3,20,71,5
10.3390/ma13071513,Pt,0,1,18.94,6.26,0.3,40,118,5
10.3390/ma13071513,Pt,0,1,18.94,6.26,0.3,50,140,5
10.3390/ma13071513,Pt,0,1,18.7,6.98,0.3,10,31,4
10.3390/ma13071513,Pt,0,1,18.7,6.98,0.3,20,47,4
10.3390/ma13071513,Pt,0,1,18.7,6.98,0.3,40,79,4
10.3390/ma13071513,Pt,0,1,18.7,6.98,0.3,50,93,4
10.3389/fmats.2019.00251,Pt,0,1,3.2,0,0.3,10,38,1.6
10.3389/fmats.2019.00251,Pt,0,1,3.2,0,0.3,20,54,1.6
10.3389/fmats.2019.00251,Pt,0,1,3.2,0,0.3,40,84,1.6
10.3389/fmats.2019.00251,Pt,0,1,7.1,0,0.3,10,24,1.5
10.3389/fmats.2019.00251,Pt,0,1,7.1,0,0.3,20,27,1.5
10.3389/fmats.2019.00251,Pt,0,1,7.1,0,0.3,40,32,1.5
10.1039/d1ta03704h,CoPdO,0,0,47.85,1,14,100,182,35.1
10.1039/d1ta03704h,CoPdO,0,0,47.85,1,14,80,169,35.1
10.1039/d1ta03704h,CoPdO,0,0,47.85,1,14,60,151,35.1
10.1039/d1ta03704h,CoPdO,0,0,47.85,1,14,50,145,35.1
10.1039/d1ta03704h,CoPdO,0,0,47.85,1,14,40,138,35.1
10.1039/d1ta03704h,CoPdO,0,0,47.85,1,14,20,121,35.1
10.1039/d1ta03704h,CoPdO,0,0,47.85,1,14,10,100,35.1
10.1039/d1ta03704h,CoPdO,0,0,7.21,1.4,14,20,368,35.1
10.1039/d1ta03704h,CoPdO,0,0,7.21,1.4,14,10,312,35.1
10.1039/d1ra05577a,RuPd,1,0,17.92,0,14,20,57.7,5.9
10.1039/d1ra05577a,RuPd,1,0,17.92,0,14,10,11.7,5.9
10.1039/d1ra05577a,Pd,0,0,16.52,0,14,20,400,5.9
10.1039/d1ra05577a,Pd,0,0,16.52,0,14,10,345,5.9
10.1039/d0ta02496a,RuCo,1,0,9.81,0.8,7.4,60,358,10
10.1039/d0ta02496a,RuCo,1,0,9.81,0.8,7.4,50,306,10
10.1039/d0ta02496a,RuCo,1,0,9.81,0.8,7.4,40,251,10
10.1039/d0ta02496a,RuCo,1,0,9.81,0.8,0.3,100,195,10
10.1039/d0ta02496a,RuCo,1,0,9.81,0.8,0.3,80,170,10
10.1039/d0ta02496a,RuCo,1,0,9.81,0.8,14,100,159,10
10.1039/d0ta02496a,RuCo,1,0,9.81,0.8,0.3,60,143,10
10.1039/d0ta02496a,RuCo,1,0,9.81,0.8,7.4,20,136,10
10.1039/d0ta02496a,RuCo,1,0,9.81,0.8,14,80,132,10
10.1039/d0ta02496a,RuCo,1,0,9.81,0.8,0.3,50,127,10
10.1039/d0ta02496a,RuCo,1,0,9.81,0.8,0.3,40,112,10
10.1039/d0ta02496a,RuCo,1,0,9.81,0.8,14,60,102,10
10.1039/d0ta02496a,RuCo,1,0,9.81,0.8,14,50,87,10
10.1039/d0ta02496a,RuCo,1,0,9.81,0.8,0.3,20,75,10
10.1039/d0ta02496a,RuCo,1,0,9.81,0.8,14,40,69,10
10.1039/d0ta02496a,RuCo,1,0,9.81,0.8,7.4,10,67,10
10.1039/d0ta02496a,RuCo,1,0,9.81,0.8,0.3,10,51,10
10.1039/d0ta02496a,RuCo,1,0,9.81,0.8,14,20,34,10
10.1039/d0ta02496a,RuCo,1,0,9.81,0.8,14,10,11,10
10.1039/d0se01516d,Pt,0,1,1.4,12.1,0.3,100,89.1,0.36
10.1039/d0se01516d,Pt,0,1,1.4,12.1,0.3,10,18.1,0.36
10.1039/c9ta07469d,Pt,0,1,1.7,18.8,0.3,10,49.1,1
10.1039/c9ta07469d,Pt,0,1,1.7,18.8,0.3,20,56,1
10.1039/c9ta07469d,Pt,0,1,1.7,18.8,0.3,40,64,1
10.1039/c9ta07469d,Pt,0,1,1.7,18.8,0.3,50,67,1
10.1039/c9ta07469d,Pt,0,1,1.7,18.8,0.3,100,83,1
10.1039/c9ta07469d,Pt,0,1,1.58,18.8,0.3,10,17,0.35
10.1039/c9ta07469d,Pt,0,1,1.58,18.8,0.3,20,26,0.35
10.1039/c9ta07469d,Pt,0,1,1.58,18.8,0.3,40,33,0.35
10.1039/c9ta07469d,Pt,0,1,1.58,18.8,0.3,50,37,0.35
10.1039/c9ta07469d,Pt,0,1,1.58,18.8,0.3,100,50,0.35
10.1039/c9ta05334d,RhCo,1,0,100,0,14,40,79,1.3
10.1039/c9ta05334d,RhCo,1,0,100,0,7.4,40,74,1.3
10.1039/c9ta05334d,RhCo,1,0,100,0,14,20,49,1.3
10.1039/c9ta05334d,RhCo,1,0,100,0,7.4,20,46,1.3
10.1039/c9ta05334d,RhCo,1,0,100,0,14,10,32,1.3
10.1039/c9ta05334d,RhCo,1,0,100,0,7.4,10,31,1.3
10.1039/c9ta05334d,RhCo,1,0,100,0,0.3,40,28,1.3
10.1039/c9ta05334d,RhCo,1,0,100,0,0.3,20,19,1.3
10.1039/c9ta05334d,RhCo,1,0,100,0,0.3,10,12.3,1.3
10.1039/c9ta04361f,IrNi,1,0,35.39,0,14,200,296,8.9
10.1039/c9ta04361f,IrNi,1,0,35.39,0,14,150,242,8.9
10.1039/c9ta04361f,IrNi,1,0,35.39,0,0.3,250,185,8.9
10.1039/c9ta04361f,IrNi,1,0,35.39,0,14,100,180,8.9
10.1039/c9ta04361f,IrNi,1,0,35.39,0,0.3,200,155,8.9
10.1039/c9ta04361f,IrNi,1,0,35.39,0,14,80,152,8.9
10.1039/c9ta04361f,IrNi,1,0,35.39,0,0.3,150,125,8.9
10.1039/c9ta04361f,IrNi,1,0,35.39,0,14,60,122,8.9
10.1039/c9ta04361f,IrNi,1,0,35.39,0,14,50,106,8.9
10.1039/c9ta04361f,IrNi,1,0,35.39,0,0.3,100,94.5,8.9
10.1039/c9ta04361f,IrNi,1,0,35.39,0,14,40,89,8.9
10.1039/c9ta04361f,IrNi,1,0,35.39,0,0.3,80,82,8.9
10.1039/c9ta04361f,IrNi,1,0,35.39,0,0.3,60,70,8.9
10.1039/c9ta04361f,IrNi,1,0,35.39,0,0.3,50,63,8.9
10.1039/c9ta04361f,IrNi,1,0,35.39,0,0.3,40,57,8.9
10.1039/c9ta04361f,IrNi,1,0,35.39,0,14,20,51,8.9
10.1039/c9ta04361f,IrNi,1,0,35.39,0,0.3,20,43,8.9
10.1039/c9ta04361f,IrNi,1,0,35.39,0,0.3,10,35,8.9
10.1039/c9ta04361f,IrNi,1,0,35.39,0,14,10,27,8.9
10.1039/c9ta04010b,Pt,0,1,0.21,0,0.3,10,110,4
10.1039/c9ta04010b,Pt,0,1,0.21,0,0.3,20,120,4
10.1039/c9ta04010b,Pt,0,1,0.21,0,0.3,40,195,4
10.1039/c9ta04010b,Pt,0,1,0.21,0,0.3,50,230,4
10.1039/c9ta04010b,Pt,0,1,19,0,0.3,10,43,3
10.1039/c9ta04010b,Pt,0,1,19,0,0.3,20,66,3
10.1039/c9ta04010b,Pt,0,1,19,0,0.3,40,95,3
10.1039/c9ta04010b,Pt,0,1,19,0,0.3,50,105,3
10.1039/c9ta04010b,Pt,0,1,19,0,0.3,100,167,3
10.1039/c9ta04010b,Pt,0,1,19,0,0.3,150,227,3
10.1039/c9ta04010b,Pt,0,1,19,0,0.3,200,296,3
10.1039/c9ta04010b,Pt,0,1,0.35,0,0.3,10,34,1
10.1039/c9ta04010b,Pt,0,1,0.35,0,0.3,20,50,1
10.1039/c9ta04010b,Pt,0,1,0.35,0,0.3,40,77,1
10.1039/c9ta04010b,Pt,0,1,0.35,0,0.3,50,90,1
10.1039/c9ta04010b,Pt,0,1,0.35,0,0.3,100,157,1
10.1039/c9ta04010b,Pt,0,1,0.35,0,0.3,150,219,1
10.1039/c9ta04010b,Pt,0,1,0.35,0,0.3,200,288,1
10.1039/c9ta04010b,Pt,0,1,0.35,0,1,10,30,1
10.1039/c9ta04010b,Pt,0,1,0.35,0,1,20,65,1
10.1039/c9ta04010b,Pt,0,1,0.35,0,1,40,91,1
10.1039/c9ta04010b,Pt,0,1,0.35,0,1,50,103,1
10.1039/c9ta04010b,Pt,0,1,0.35,0,1,100,169,1
10.1039/c9ta04010b,Pt,0,1,0.35,0,1,150,233,1
10.1039/c9ta04010b,Pt,0,1,0.35,0,1,200,307,1
10.1039/c9ta04010b,Pt,0,1,0.35,0,0.7,10,31,1
10.1039/c9ta04010b,Pt,0,1,0.35,0,0.7,20,61,1
10.1039/c9ta04010b,Pt,0,1,0.35,0,0.7,40,87,1
10.1039/c9ta04010b,Pt,0,1,0.35,0,0.7,50,99,1
10.1039/c9ta04010b,Pt,0,1,0.35,0,0.7,100,164,1
10.1039/c9ta04010b,Pt,0,1,0.35,0,0.7,150,226,1
10.1039/c9ta04010b,Pt,0,1,0.35,0,0.7,200,291,1
10.1039/c9ta04010b,Pt,0,1,0.35,0,0.5,10,32,1
10.1039/c9ta04010b,Pt,0,1,0.35,0,0.5,20,58,1
10.1039/c9ta04010b,Pt,0,1,0.35,0,0.5,40,81,1
10.1039/c9ta04010b,Pt,0,1,0.35,0,0.5,50,94,1
10.1039/c9ta04010b,Pt,0,1,0.35,0,0.5,100,152,1
10.1039/c9ta04010b,Pt,0,1,0.35,0,0.5,150,211,1
10.1039/c9ta04010b,Pt,0,1,0.35,0,0.5,200,278,1
10.1039/c9ta04010b,Pt,0,1,0.34,0,0.3,10,23,1
10.1039/c9ta04010b,Pt,0,1,0.34,0,0.3,20,41,1
10.1039/c9ta04010b,Pt,0,1,0.34,0,0.3,40,62,1
10.1039/c9ta04010b,Pt,0,1,0.34,0,0.3,50,70,1
10.1039/c9ta04010b,Pt,0,1,0.34,0,0.3,100,112,1
10.1039/c9ta04010b,Pt,0,1,0.34,0,0.3,150,158,1
10.1039/c9ta04010b,Pt,0,1,0.34,0,0.3,200,201,1
10.1039/c9nj03675j,Pt,0,1,4.8,4.3,0.3,10,38,4.75
10.1039/c9nj03675j,Pt,0,1,4.8,4.3,0.3,20,50,4.75
10.1039/c9nj03675j,Pt,0,1,4.8,4.3,0.3,40,76,4.75
10.1039/c9nj03675j,Pt,0,1,4.8,4.3,0.3,50,89,4.75
10.1039/c9nj03675j,Pt,0,1,4.8,4.3,0.3,10,34,3.05
10.1039/c9nj03675j,Pt,0,1,4.8,4.3,0.3,20,44,3.05
10.1039/c9nj03675j,Pt,0,1,4.8,4.3,0.3,40,66,3.05
10.1039/c9nj03675j,Pt,0,1,4.8,4.3,0.3,50,75.6,3.05
10.1039/c9nj03675j,Pt,0,1,4.8,4.3,0.3,10,35,2.85
10.1039/c9nj03675j,Pt,0,1,4.8,4.3,0.3,20,47,2.85
10.1039/c9nj03675j,Pt,0,1,4.8,4.3,0.3,40,71,2.85
10.1039/c9nj03675j,Pt,0,1,4.8,4.3,0.3,50,83,2.85
10.1039/c9cy02285f,PtRu,1,1,3.9,0,0.3,100,134,1.6
10.1039/c9cy02285f,PtRu,1,1,3.9,0,0.3,80,122,1.6
10.1039/c9cy02285f,PtRu,1,1,3.9,0,0.3,60,108,1.6
10.1039/c9cy02285f,PtRu,1,1,3.9,0,0.3,50,100,1.6
10.1039/c9cy02285f,PtRu,1,1,3.9,0,0.3,40,91,1.6
10.1039/c9cy02285f,PtRu,1,1,3.9,0,0.3,20,65,1.6
10.1039/c9cy02285f,PtRu,1,1,3.9,0,0.3,10,43.7,1.6
10.1039/c9cy02285f,PtRu,1,1,2.5,0,0.3,100,146,1.6
10.1039/c9cy02285f,PtRu,1,1,2.5,0,0.3,80,134,1.6
10.1039/c9cy02285f,PtRu,1,1,2.5,0,0.3,60,119,1.6
10.1039/c9cy02285f,PtRu,1,1,2.5,0,0.3,50,111,1.6
10.1039/c9cy02285f,PtRu,1,1,2.5,0,0.3,40,102,1.6
10.1039/c9cy02285f,PtRu,1,1,2.5,0,0.3,20,75.5,1.6
10.1039/c9cy02285f,PtRu,1,1,2.5,0,0.3,10,55.3,1.6
10.1039/c9cy02285f,Pt,0,1,10,0,0.3,10,30,3.5
10.1039/c9cy02285f,Pt,0,1,5.2,0,0.3,10,33,1.6
10.1039/c9cy02285f,Pt,0,1,5.2,0,0.3,20,43,1.6
10.1039/c9cy02285f,Pt,0,1,5.2,0,0.3,40,56,1.6
10.1039/c9cy02285f,Pt,0,1,5.2,0,0.3,50,61,1.6
10.1039/c9cy02285f,Pt,0,1,5.2,0,0.3,100,78,1.6
10.1039/c8sc04986f,Pt,0,1,3.8,18,0.3,10,39,2
10.1039/c8sc04986f,Pt,0,1,3.8,18,0.3,20,48,2
10.1039/c8sc04986f,Pt,0,1,3.8,18,0.3,40,64,2
10.1039/c8sc04986f,Pt,0,1,3.8,18,0.3,50,71,2
10.1039/c8sc04986f,Pt,0,1,3.8,18,0.3,100,104,2
10.1039/c8sc04986f,Pt,0,1,2.54,18,0.3,10,26,0.35
10.1039/c8sc04986f,Pt,0,1,2.54,18,0.3,20,34,0.35
10.1039/c8sc04986f,Pt,0,1,2.54,18,0.3,40,40,0.35
10.1039/c8sc04986f,Pt,0,1,2.54,18,0.3,50,43,0.35
10.1039/c8sc04986f,Pt,0,1,2.54,18,0.3,100,53,0.35
10.1039/c8ee02888e,Pt,0,1,0.44,2.75,0.3,10,12,0.35
10.1039/c8ee02888e,Pt,0,1,0.44,2.75,0.3,20,20,0.35
10.1039/c8ee02888e,Pt,0,1,0.44,2.75,0.3,40,30,0.35
10.1039/c8ee02888e,Pt,0,1,0.44,2.75,0.3,50,37,0.35
10.1039/c8ee02888e,Pt,0,1,0.44,2.75,14,10,7,0.35
10.1039/c8ee02888e,Pt,0,1,0.44,2.75,14,20,16,0.35
10.1039/c8ee02888e,Pt,0,1,0.44,2.75,14,40,31,0.35
10.1039/c8ee02888e,Pt,0,1,0.44,2.75,14,50,38,0.35
10.1039/c8ee00402a,PtRu,1,1,5.24,0,0.3,100,145.3,5.12
10.1039/c8ee00402a,PtRu,1,1,5.24,0,0.3,80,132.1,5.12
10.1039/c8ee00402a,PtRu,1,1,5.24,0,0.3,60,115.6,5.12
10.1039/c8ee00402a,PtRu,1,1,5.24,0,0.3,50,105.7,5.12
10.1039/c8ee00402a,PtRu,1,1,5.24,0,0.3,40,93.6,5.12
10.1039/c8ee00402a,PtRu,1,1,5.24,0,0.3,20,65,5.12
10.1039/c8ee00402a,PtRu,1,1,5.24,0,0.3,10,46.6,5.12
10.1039/c8ee00402a,PtRu,1,1,4.42,0,0.3,100,43.1,2.57
10.1039/c8ee00402a,PtRu,1,1,4.42,0,0.3,80,39.6,2.57
10.1039/c8ee00402a,PtRu,1,1,4.42,0,0.3,60,35.2,2.57
10.1039/c8ee00402a,PtRu,1,1,4.42,0,0.3,50,31.9,2.57
10.1039/c8ee00402a,PtRu,1,1,4.42,0,0.3,40,29.7,2.57
10.1039/c8ee00402a,PtRu,1,1,4.42,0,0.3,20,24.2,2.57
10.1039/c8ee00402a,PtRu,1,1,4.42,0,0.3,10,19.7,2.57
10.1039/c8ee00402a,Pt,0,1,19.82,0,0.3,100,61.8,2.84
10.1039/c8ee00402a,Pt,0,1,19.82,0,0.3,80,53.9,2.84
10.1039/c8ee00402a,Pt,0,1,19.82,0,0.3,60,46.2,2.84
10.1039/c8ee00402a,Pt,0,1,19.82,0,0.3,50,40.7,2.84
10.1039/c8ee00402a,Pt,0,1,19.82,0,0.3,40,37.4,2.84
10.1039/c8ee00402a,Pt,0,1,19.82,0,0.3,20,25.3,2.84
10.1039/c8ee00402a,Pt,0,1,19.82,0,0.3,10,19.5,2.84
10.1039/c8ee00402a,Ru,0,0,4.31,0,0.3,100,166.4,2.65
10.1039/c8ee00402a,Ru,0,0,4.31,0,0.3,80,150.8,2.65
10.1039/c8ee00402a,Ru,0,0,4.31,0,0.3,60,134.3,2.65
10.1039/c8ee00402a,Ru,0,0,4.31,0,0.3,50,123.3,2.65
10.1039/c8ee00402a,Ru,0,0,4.31,0,0.3,40,112.2,2.65
10.1039/c8ee00402a,Ru,0,0,4.31,0,0.3,20,82.6,2.65
10.1039/c8ee00402a,Ru,0,0,4.31,0,0.3,10,58.1,2.65
10.1039/c7ta03629a,CoNiO,0,0,36.69,2.69,14,100,274,15
10.1039/c7ta03629a,CoNiO,0,0,36.69,2.69,14,80,258,15
10.1039/c7ta03629a,CoNiO,0,0,36.69,2.69,14,60,239,15
10.1039/c7ta03629a,CoNiO,0,0,36.69,2.69,14,50,226,15
10.1039/c7ta03629a,CoNiO,0,0,36.69,2.69,14,40,212,15
10.1039/c7ta03629a,CoNiO,0,0,36.69,2.69,14,20,164,15
10.1039/c7ta03629a,CoNiO,0,0,36.69,2.69,14,10,94,15
10.1039/c7ta03629a,NiO,0,0,14.55,1.34,14,100,367,39.1
10.1039/c7ta03629a,NiO,0,0,14.55,1.34,14,80,331,39.1
10.1039/c7ta03629a,NiO,0,0,14.55,1.34,14,60,289,39.1
10.1039/c7ta03629a,NiO,0,0,14.55,1.34,14,50,268,39.1
10.1039/c7ta03629a,NiO,0,0,14.55,1.34,14,40,245,39.1
10.1039/c7ta03629a,NiO,0,0,14.55,1.34,14,20,180,39.1
10.1039/c7ta03629a,NiO,0,0,14.55,1.34,14,10,108,39.1
10.1039/c7ta03629a,CoO,0,0,15.98,1.64,14,100,419,32.8
10.1039/c7ta03629a,CoO,0,0,15.98,1.64,14,80,402,32.8
10.1039/c7ta03629a,CoO,0,0,15.98,1.64,14,60,379,32.8
10.1039/c7ta03629a,CoO,0,0,15.98,1.64,14,50,370,32.8
10.1039/c7ta03629a,CoO,0,0,15.98,1.64,14,40,355,32.8
10.1039/c7ta03629a,CoO,0,0,15.98,1.64,14,20,303,32.8
10.1039/c7ta03629a,CoO,0,0,15.98,1.64,14,10,225,32.8
10.1039/c6ta06975d,CoNiP,0,0,100,0,0.3,50,225,5.35
10.1039/c6ta06975d,CoNiP,0,0,100,0,0.3,40,218.6,5.35
10.1039/c6ta06975d,CoNiP,0,0,100,0,0.3,20,197,5.35
10.1039/c6ta06975d,CoNiP,0,0,100,0,0.3,10,165,5.35
10.1039/c6ta06975d,CoNiP,0,0,78.06,0,0.3,50,171,5.35
10.1039/c6ta06975d,CoNiP,0,0,78.06,0,0.3,40,163,5.35
10.1039/c6ta06975d,CoNiP,0,0,78.06,0,0.3,20,135,5.35
10.1039/c6ta06975d,CoNiP,0,0,78.06,0,0.3,10,111.8,5.35
10.1039/c6ta06975d,CoNiP,0,0,64,0,0.3,50,156.4,5.35
10.1039/c6ta06975d,CoNiP,0,0,64,0,0.3,40,148,5.35
10.1039/c6ta06975d,CoNiP,0,0,64,0,0.3,20,125.6,5.35
10.1039/c6ta06975d,CoNiP,0,0,64,0,0.3,10,101,5.35
10.1039/c6ta06975d,CoNiP,0,0,41.57,0,0.3,50,148,5.35
10.1039/c6ta06975d,CoNiP,0,0,41.57,0,0.3,40,141,5.35
10.1039/c6ta06975d,CoNiP,0,0,41.57,0,0.3,20,118.8,5.35
10.1039/c6ta06975d,CoNiP,0,0,41.57,0,0.3,10,104,5.35
10.1039/c6ta06975d,CoNiP,0,0,43.52,0,0.3,50,164,4.52
10.1039/c6ta06975d,CoNiP,0,0,43.52,0,0.3,40,156.8,4.52
10.1039/c6ta06975d,CoNiP,0,0,43.52,0,0.3,20,135.4,4.52
10.1039/c6ta06975d,CoNiP,0,0,43.52,0,0.3,10,117.6,4.52
10.1039/c6ta06975d,CoNiP,0,0,38.68,0,0.3,50,221,3.65
10.1039/c6ta06975d,CoNiP,0,0,38.68,0,0.3,40,208.8,3.65
10.1039/c6ta06975d,CoNiP,0,0,38.68,0,0.3,20,169.8,3.65
10.1039/c6ta06975d,CoNiP,0,0,38.68,0,0.3,10,145,3.65
10.1039/c5ee02460a,FeCo,1,0,8.84,8.22,0.3,10,262,15
10.1039/c4fd00123k,Fe,0,0,8,4.2,0.3,10,396,15
10.1038/s41467-019-12851-w,Pt,0,1,4,12,0.3,10,11,1.56
10.1038/s41467-019-12851-w,Pt,0,1,4,12,0.3,20,13.4,1.56
10.1038/s41467-019-12851-w,Pt,0,1,4,12,0.3,40,17,1.56
10.1038/s41467-019-12851-w,Pt,0,1,4,12,0.3,50,17.4,1.56
10.1038/s41467-019-12851-w,Pt,0,1,4,12,0.3,10,53,0.35
10.1038/s41467-019-12851-w,Pt,0,1,4,12,0.3,20,77.5,0.35
10.1038/ncomms14969,RuCo,1,0,62.92,3.51,14,100,218,28.38
10.1038/ncomms14969,RuCo,1,0,62.92,3.51,14,10,28,28.38
10.1021/jacs.0c06960,NiCu,1,0,20.35,0,0.3,80,337,14.51
10.1021/jacs.0c06960,NiCu,1,0,20.35,0,0.3,60,317,14.51
10.1021/jacs.0c06960,NiCu,1,0,20.35,0,0.3,50,304,14.51
10.1021/jacs.0c06960,NiCu,1,0,20.35,0,0.3,40,287,14.51
10.1021/jacs.0c06960,NiCu,1,0,20.35,0,0.3,20,233,14.51
10.1021/jacs.0c06960,NiCu,1,0,20.35,0,0.3,10,186,14.51
10.1021/jacs.0c06960,NiCu,1,0,23.73,0,0.3,80,535,11.58
10.1021/jacs.0c06960,NiCu,1,0,23.73,0,0.3,60,511,11.58
10.1021/jacs.0c06960,NiCu,1,0,23.73,0,0.3,50,501,11.58
10.1021/jacs.0c06960,NiCu,1,0,23.73,0,0.3,40,486,11.58
10.1021/jacs.0c06960,NiCu,1,0,23.73,0,0.3,20,443,11.58
10.1021/jacs.0c06960,NiCu,1,0,23.73,0,0.3,10,400,11.58
10.1021/jacs.0c06960,NiCu,1,0,22,0,0.3,80,477,9.76
10.1021/jacs.0c06960,NiCu,1,0,22,0,0.3,60,457,9.76
10.1021/jacs.0c06960,NiCu,1,0,22,0,0.3,50,440,9.76
10.1021/jacs.0c06960,NiCu,1,0,22,0,0.3,40,424,9.76
10.1021/jacs.0c06960,NiCu,1,0,22,0,0.3,20,376,9.76
10.1021/jacs.0c06960,NiCu,1,0,22,0,0.3,10,334,9.76
10.1021/jacs.0c06960,Cu,0,0,19.26,0,0.3,80,583,21.04
10.1021/jacs.0c06960,Cu,0,0,19.26,0,0.3,60,564,21.04
10.1021/jacs.0c06960,Cu,0,0,19.26,0,0.3,50,555,21.04
10.1021/jacs.0c06960,Cu,0,0,19.26,0,0.3,40,543,21.04
10.1021/jacs.0c06960,Cu,0,0,19.26,0,0.3,20,508,21.04
10.1021/jacs.0c06960,Cu,0,0,19.26,0,0.3,10,471,21.04
10.1021/jacs.0c06960,Ni,0,0,30.24,0,0.3,80,553,13.86
10.1021/jacs.0c06960,Ni,0,0,30.24,0,0.3,60,536,13.86
10.1021/jacs.0c06960,Ni,0,0,30.24,0,0.3,50,522,13.86
10.1021/jacs.0c06960,Ni,0,0,30.24,0,0.3,40,512,13.86
10.1021/jacs.0c06960,Ni,0,0,30.24,0,0.3,20,472,13.86
10.1021/jacs.0c06960,Ni,0,0,30.24,0,0.3,10,437,13.86
10.1021/acssuschemeng.9b02426,CoFe,1,0,29.4,3.25,14,60,378,21
10.1021/acssuschemeng.9b02426,CoFe,1,0,29.4,3.25,14,50,358,21
10.1021/acssuschemeng.9b02426,CoFe,1,0,29.4,3.25,14,40,333,21
10.1021/acssuschemeng.9b02426,CoFe,1,0,29.4,3.25,14,20,276,21
10.1021/acssuschemeng.9b02426,CoFe,1,0,29.4,3.25,14,10,230,21
10.1021/acssuschemeng.9b02126,RuCo,1,0,20.3,0,7.4,60,370,10
10.1021/acssuschemeng.9b02126,RuCo,1,0,20.3,0,7.4,50,312,10
10.1021/acssuschemeng.9b02126,RuCo,1,0,20.3,0,7.4,40,259,10
10.1021/acssuschemeng.9b02126,RuCo,1,0,20.3,0,14,50,123,10
10.1021/acssuschemeng.9b02126,RuCo,1,0,20.3,0,0.3,50,123,10
10.1021/acssuschemeng.9b02126,RuCo,1,0,20.3,0,7.4,20,123,10
10.1021/acssuschemeng.9b02126,RuCo,1,0,20.3,0,14,40,100,10
10.1021/acssuschemeng.9b02126,RuCo,1,0,20.3,0,0.3,40,100,10
10.1021/acssuschemeng.9b02126,RuCo,1,0,20.3,0,14,20,50,10
10.1021/acssuschemeng.9b02126,RuCo,1,0,20.3,0,0.3,20,50,10
10.1021/acssuschemeng.9b02126,RuCo,1,0,20.3,0,7.4,10,49,10
10.1021/acssuschemeng.9b02126,RuCo,1,0,20.3,0,14,10,21,10
10.1021/acssuschemeng.9b02126,RuCo,1,0,20.3,0,0.3,10,21,10
10.1021/acssuschemeng.9b02126,Co,0,0,18.5,0,7.4,10,709,10
10.1021/acssuschemeng.9b02126,Co,0,0,18.5,0,0.3,20,552,10
10.1021/acssuschemeng.9b02126,Co,0,0,18.5,0,0.3,10,414,10
10.1021/acssuschemeng.9b02126,Co,0,0,18.5,0,14,40,271,10
10.1021/acssuschemeng.9b02126,Co,0,0,18.5,0,14,20,186,10
10.1021/acssuschemeng.9b02126,Co,0,0,18.5,0,14,10,127,10
10.1021/acssuschemeng.9b02126,Ru,0,0,1.86,0,7.4,60,429,10
10.1021/acssuschemeng.9b02126,Ru,0,0,1.86,0,7.4,50,362,10
10.1021/acssuschemeng.9b02126,Ru,0,0,1.86,0,7.4,40,294,10
10.1021/acssuschemeng.9b02126,Ru,0,0,1.86,0,0.3,60,188,10
10.1021/acssuschemeng.9b02126,Ru,0,0,1.86,0,0.3,50,170,10
10.1021/acssuschemeng.9b02126,Ru,0,0,1.86,0,0.3,40,153,10
10.1021/acssuschemeng.9b02126,Ru,0,0,1.86,0,7.4,20,152,10
10.1021/acssuschemeng.9b02126,Ru,0,0,1.86,0,14,50,125,10
10.1021/acssuschemeng.9b02126,Ru,0,0,1.86,0,0.3,20,109,10
10.1021/acssuschemeng.9b02126,Ru,0,0,1.86,0,14,40,105,10
10.1021/acssuschemeng.9b02126,Ru,0,0,1.86,0,0.3,10,78,10
10.1021/acssuschemeng.9b02126,Ru,0,0,1.86,0,7.4,10,69,10
10.1021/acssuschemeng.9b02126,Ru,0,0,1.86,0,14,20,59,10
10.1021/acssuschemeng.9b02126,Ru,0,0,1.86,0,14,10,31,10
10.1021/acssuschemeng.9b02126,0,0,0,0,0,0.3,10,517,0
10.1021/acssuschemeng.9b02126,0,0,0,0,0,14,10,370,0
10.1021/acssuschemeng.8b06745,CoRu,1,0,22.4,2.3,0.3,100,354,30
10.1021/acssuschemeng.8b06745,CoRu,1,0,22.4,2.3,14,100,336,30
10.1021/acssuschemeng.8b06745,CoRu,1,0,22.4,2.3,0.3,80,316,30
10.1021/acssuschemeng.8b06745,CoRu,1,0,22.4,2.3,14,80,289,30
10.1021/acssuschemeng.8b06745,CoRu,1,0,22.4,2.3,0.3,60,271,30
10.1021/acssuschemeng.8b06745,CoRu,1,0,22.4,2.3,0.3,50,244,30
10.1021/acssuschemeng.8b06745,CoRu,1,0,22.4,2.3,14,60,239,30
10.1021/acssuschemeng.8b06745,CoRu,1,0,22.4,2.3,0.3,40,217,30
10.1021/acssuschemeng.8b06745,CoRu,1,0,22.4,2.3,14,50,211,30
10.1021/acssuschemeng.8b06745,CoRu,1,0,22.4,2.3,14,40,185,30
10.1021/acssuschemeng.8b06745,CoRu,1,0,22.4,2.3,0.3,20,152,30
10.1021/acssuschemeng.8b06745,CoRu,1,0,22.4,2.3,14,20,118,30
10.1021/acssuschemeng.8b06745,CoRu,1,0,22.4,2.3,0.3,10,116,30
